Time,Job,Node,Task,Duration
711.5,0,CCPU_10135,Run,711.5
711.5,0,CCPU_10136,Run,711.5
711.5,0,CCPU_10137,Run,711.5
711.5,0,CCPU_10138,Run,711.5
711.5,0,CCPU_10139,Run,711.5
711.5,0,CCPU_1014,Run,711.5
711.5,0,CCPU_10140,Run,711.5
711.5,0,CCPU_10141,Run,711.5
711.5,0,CCPU_10142,Run,711.5
711.5,0,CCPU_10143,Run,711.5
711.5,0,CCPU_10144,Run,711.5
711.5,0,CCPU_10145,Run,711.5
711.5,0,CCPU_10146,Run,711.5
711.5,0,CCPU_10147,Run,711.5
711.5,0,CCPU_10148,Run,711.5
711.5,0,CCPU_10149,Run,711.5
711.5,0,CCPU_1015,Run,711.5
711.5,0,CCPU_10150,Run,711.5
711.5,0,CCPU_10151,Run,711.5
711.5,0,CCPU_10152,Run,711.5
711.5,0,CCPU_10153,Run,711.5
711.5,0,CCPU_10154,Run,711.5
711.5,0,CCPU_10155,Run,711.5
711.5,0,CCPU_10156,Run,711.5
711.5,0,CCPU_10157,Run,711.5
711.5,0,CCPU_10158,Run,711.5
711.5,0,CCPU_10159,Run,711.5
711.5,0,CCPU_1016,Run,711.5
711.5,0,CCPU_10160,Run,711.5
711.5,0,CCPU_10161,Run,711.5
711.5,0,CCPU_10162,Run,711.5
711.5,0,CCPU_10163,Run,711.5
711.5,0,CCPU_10164,Run,711.5
711.5,0,CCPU_10165,Run,711.5
711.5,0,CCPU_10166,Run,711.5
711.5,0,CCPU_10167,Run,711.5
711.5,0,CCPU_10168,Run,711.5
711.5,0,CCPU_10169,Run,711.5
711.5,0,CCPU_1017,Run,711.5
711.5,0,CCPU_10170,Run,711.5
711.5,0,CCPU_10171,Run,711.5
711.5,0,CCPU_10172,Run,711.5
711.5,0,CCPU_10173,Run,711.5
711.5,0,CCPU_10174,Run,711.5
711.5,0,CCPU_10175,Run,711.5
711.5,0,CCPU_10176,Run,711.5
711.5,0,CCPU_10177,Run,711.5
711.5,0,CCPU_10178,Run,711.5
711.5,0,CCPU_10179,Run,711.5
711.5,0,CCPU_1018,Run,711.5
711.5,0,CCPU_10180,Run,711.5
711.5,0,CCPU_10181,Run,711.5
711.5,0,CCPU_10182,Run,711.5
711.5,0,CCPU_10183,Run,711.5
711.5,0,CCPU_10184,Run,711.5
711.5,0,CCPU_10185,Run,711.5
711.5,0,CCPU_10186,Run,711.5
