Time,Node,State,Running jobs,Expected jobs
0,CCPU_10178,free,none,none
0,CCPU_10179,free,none,none
0,CCPU_1018,free,none,none
0,CCPU_10180,free,none,none
0,CCPU_10181,free,none,none
0,CCPU_10182,free,none,none
0,CCPU_10183,free,none,none
0,CCPU_10184,free,none,none
0,CCPU_10185,free,none,none
0,CCPU_10186,free,none,none
0,CCPU_10187,free,none,none
0,CCPU_10188,free,none,none
0,CCPU_10189,free,none,none
0,CCPU_1019,free,none,none
0,CCPU_10190,free,none,none
0,CCPU_10191,free,none,none
0,CCPU_10192,free,none,none
0,CCPU_10193,free,none,none
0,CCPU_10194,free,none,none
0,CCPU_10195,free,none,none
0,CCPU_10196,free,none,none
0,CCPU_10197,free,none,none
0,CCPU_10198,free,none,none
0,CCPU_10199,free,none,none
0,CCPU_102,free,none,none
0,CCPU_1020,free,none,none
0,CCPU_10200,free,none,none
0,CCPU_10201,free,none,none
0,CCPU_10202,free,none,none
0,CCPU_10203,free,none,none
0,CCPU_10204,free,none,none
0,CCPU_10205,free,none,none
0,CCPU_10206,free,none,none
0,CCPU_10207,free,none,none
0,CCPU_10208,free,none,none
0,CCPU_10209,free,none,none
0,CCPU_1021,free,none,none
0,CCPU_10210,free,none,none
0,CCPU_10211,free,none,none
0,CCPU_10212,free,none,none
0,CCPU_10213,free,none,none
0,CCPU_10214,free,none,none
0,CCPU_10215,free,none,none
0,CCPU_10216,free,none,none
0,CCPU_10217,free,none,none
0,CCPU_10218,free,none,none
0,CCPU_10219,free,none,none
0,CCPU_1022,free,none,none
0,CCPU_10220,free,none,none
0,CCPU_10221,free,none,none
0,CCPU_10222,free,none,none
0,CCPU_10223,free,none,none
0,CCPU_10224,free,none,none
0,CCPU_10225,free,none,none
0,CCPU_10226,free,none,none
0,CCPU_10227,free,none,none
0,CCPU_10228,free,none,none
0,CCPU_10229,free,none,none
0,CCPU_1023,free,none,none
0,CCPU_10230,free,none,none
0,CCPU_10231,free,none,none
0,CCPU_10232,free,none,none
0,CCPU_10233,free,none,none
0,CCPU_10234,free,none,none
0,CCPU_10235,free,none,none
0,CCPU_10236,free,none,none
0,CCPU_10237,free,none,none
0,CCPU_10238,free,none,none
0,CCPU_10239,free,none,none
0,CCPU_1024,free,none,none
0,CCPU_10240,free,none,none
0,CCPU_10241,free,none,none
0,CCPU_10242,free,none,none
0,CCPU_10243,free,none,none
0,CCPU_10244,free,none,none
0,CCPU_10245,free,none,none
0,CCPU_10246,free,none,none
0,CCPU_10247,free,none,none
0,CCPU_10248,free,none,none
0,CCPU_10249,free,none,none
0,CCPU_1025,free,none,none
0,CCPU_10250,free,none,none
0,CCPU_10251,free,none,none
0,CCPU_10252,free,none,none
0,CCPU_10253,free,none,none
0,CCPU_10254,free,none,none
0,CCPU_10255,free,none,none
0,CCPU_10256,free,none,none
0,CCPU_10257,free,none,none
0,CCPU_10258,free,none,none
0,CCPU_10259,free,none,none
0,CCPU_1026,free,none,none
0,CCPU_10260,free,none,none
0,CCPU_10261,free,none,none
0,CCPU_10262,free,none,none
0,CCPU_10263,free,none,none
0,CCPU_10264,free,none,none
0,CCPU_10265,free,none,none
0,CCPU_10266,free,none,none
0,CCPU_10267,free,none,none
0,CCPU_10268,free,none,none
0,CCPU_10269,free,none,none
0,CCPU_1027,free,none,none
0,CCPU_10270,free,none,none
0,CCPU_10271,free,none,none
0,CCPU_10272,free,none,none
0,CCPU_10273,free,none,none
0,CCPU_10274,free,none,none
0,CCPU_10275,free,none,none
0,CCPU_10276,free,none,none
0,CCPU_10277,free,none,none
0,CCPU_10278,free,none,none
0,CCPU_10279,free,none,none
0,CCPU_1028,free,none,none
0,CCPU_10280,free,none,none
0,CCPU_10281,free,none,none
0,CCPU_10282,free,none,none
0,CCPU_10283,free,none,none
0,CCPU_10284,free,none,none
0,CCPU_10285,free,none,none
0,CCPU_10286,free,none,none
0,CCPU_10287,free,none,none
0,CCPU_10288,free,none,none
0,CCPU_10289,free,none,none
0,CCPU_1029,free,none,none
0,CCPU_10290,free,none,none
0,CCPU_10291,free,none,none
0,CCPU_10292,free,none,none
0,CCPU_10293,free,none,none
0,CCPU_10294,free,none,none
0,CCPU_10295,free,none,none
0,CCPU_10296,free,none,none
0,CCPU_10297,free,none,none
0,CCPU_10298,free,none,none
0,CCPU_10299,free,none,none
0,CCPU_103,free,none,none
0,CCPU_1030,free,none,none
0,CCPU_10300,free,none,none
0,CCPU_10301,free,none,none
0,CCPU_10302,free,none,none
0,CCPU_10303,free,none,none
0,CCPU_10304,free,none,none
0,CCPU_10305,free,none,none
0,CCPU_10306,free,none,none
0,CCPU_10307,free,none,none
0,CCPU_10308,free,none,none
0,CCPU_10309,free,none,none
0,CCPU_1031,free,none,none
0,CCPU_10310,free,none,none
0,CCPU_10311,free,none,none
0,CCPU_10312,free,none,none
0,CCPU_10313,free,none,none
0,CCPU_10314,free,none,none
0,CCPU_10315,free,none,none
0,CCPU_10316,free,none,none
0,CCPU_10317,free,none,none
0,CCPU_10318,free,none,none
0,CCPU_10319,free,none,none
0,CCPU_1032,free,none,none
0,CCPU_10320,free,none,none
0,CCPU_10321,free,none,none
0,CCPU_10322,free,none,none
0,CCPU_10323,free,none,none
0,CCPU_10324,free,none,none
0,CCPU_10325,free,none,none
0,CCPU_10326,free,none,none
0,CCPU_10327,free,none,none
0,CCPU_10328,free,none,none
0,CCPU_10329,free,none,none
0,CCPU_1033,free,none,none
0,CCPU_10330,free,none,none
0,CCPU_10331,free,none,none
0,CCPU_10332,free,none,none
0,CCPU_10333,free,none,none
0,CCPU_10334,free,none,none
0,CCPU_10335,free,none,none
0,CCPU_10336,free,none,none
0,CCPU_10337,free,none,none
0,CCPU_10338,free,none,none
0,CCPU_10339,free,none,none
0,CCPU_1034,free,none,none
0,CCPU_10340,free,none,none
0,CCPU_10341,free,none,none
0,CCPU_10342,free,none,none
0,CCPU_10343,free,none,none
0,CCPU_10344,free,none,none
0,CCPU_10345,free,none,none
0,CCPU_10346,free,none,none
0,CCPU_10347,free,none,none
0,CCPU_10348,free,none,none
0,CCPU_10349,free,none,none
0,CCPU_1035,free,none,none
0,CCPU_10350,free,none,none
0,CCPU_10351,free,none,none
0,CCPU_10352,free,none,none
0,CCPU_10353,free,none,none
0,CCPU_10354,free,none,none
0,CCPU_10355,free,none,none
0,CCPU_10356,free,none,none
0,CCPU_10357,free,none,none
0,CCPU_10358,free,none,none
0,CCPU_10359,free,none,none
0,CCPU_1036,free,none,none
0,CCPU_10360,free,none,none
0,CCPU_10361,free,none,none
0,CCPU_10362,free,none,none
0,CCPU_10363,free,none,none
0,CCPU_10364,free,none,none
0,CCPU_10365,free,none,none
0,CCPU_10366,free,none,none
0,CCPU_10367,free,none,none
0,CCPU_10368,free,none,none
0,CCPU_10369,free,none,none
0,CCPU_1037,free,none,none
0,CCPU_10370,free,none,none
0,CCPU_10371,free,none,none
0,CCPU_10372,free,none,none
0,CCPU_10373,free,none,none
0,CCPU_10374,free,none,none
0,CCPU_10375,free,none,none
0,CCPU_10376,free,none,none
0,CCPU_10377,free,none,none
0,CCPU_10378,free,none,none
0,CCPU_10379,free,none,none
0,CCPU_1038,free,none,none
0,CCPU_10380,free,none,none
0,CCPU_10381,free,none,none
0,CCPU_10382,free,none,none
0,CCPU_10383,free,none,none
0,CCPU_10384,free,none,none
0,CCPU_10385,free,none,none
0,CCPU_10386,free,none,none
0,CCPU_10387,free,none,none
0,CCPU_10388,free,none,none
0,CCPU_10389,free,none,none
0,CCPU_1039,free,none,none
0,CCPU_10390,free,none,none
0,CCPU_10391,free,none,none
0,CCPU_10392,free,none,none
0,CCPU_10393,free,none,none
0,CCPU_10394,free,none,none
0,CCPU_10395,free,none,none
0,CCPU_10396,free,none,none
0,CCPU_10397,free,none,none
0,CCPU_10398,free,none,none
0,CCPU_10399,free,none,none
0,CCPU_104,free,none,none
0,CCPU_1040,free,none,none
0,CCPU_10400,free,none,none
0,CCPU_10401,free,none,none
0,CCPU_10402,free,none,none
0,CCPU_10403,free,none,none
0,CCPU_10404,free,none,none
0,CCPU_10405,free,none,none
0,CCPU_10406,free,none,none
0,CCPU_10407,free,none,none
0,CCPU_10408,free,none,none
0,CCPU_10409,free,none,none
0,CCPU_1041,free,none,none
0,CCPU_10410,free,none,none
0,CCPU_10411,free,none,none
0,CCPU_10412,free,none,none
0,CCPU_10413,free,none,none
0,CCPU_10414,free,none,none
0,CCPU_10415,free,none,none
0,CCPU_10416,free,none,none
0,CCPU_10417,free,none,none
0,CCPU_10418,free,none,none
0,CCPU_10419,free,none,none
0,CCPU_1042,free,none,none
0,CCPU_10420,free,none,none
0,CCPU_10421,free,none,none
0,CCPU_10422,free,none,none
0,CCPU_10423,free,none,none
0,CCPU_10424,free,none,none
0,CCPU_10425,free,none,none
0,CCPU_10426,free,none,none
0,CCPU_10427,free,none,none
0,CCPU_10428,free,none,none
0,CCPU_10429,free,none,none
0,CCPU_1043,free,none,none
0,CCPU_10430,free,none,none
0,CCPU_10431,free,none,none
0,CCPU_10432,free,none,none
0,CCPU_10433,free,none,none
0,CCPU_10434,free,none,none
0,CCPU_10435,free,none,none
0,CCPU_10436,free,none,none
0,CCPU_10437,free,none,none
0,CCPU_10438,free,none,none
0,CCPU_10439,free,none,none
0,CCPU_1044,free,none,none
0,CCPU_10440,free,none,none
0,CCPU_10441,free,none,none
0,CCPU_10442,free,none,none
0,CCPU_10443,free,none,none
0,CCPU_10444,free,none,none
0,CCPU_10445,free,none,none
0,CCPU_10446,free,none,none
0,CCPU_10447,free,none,none
0,CCPU_10448,free,none,none
0,CCPU_10449,free,none,none
0,CCPU_1045,free,none,none
0,CCPU_10450,free,none,none
0,CCPU_10451,free,none,none
0,CCPU_10452,free,none,none
0,CCPU_10453,free,none,none
0,CCPU_10454,free,none,none
0,CCPU_10455,free,none,none
0,CCPU_10456,free,none,none
0,CCPU_10457,free,none,none
0,CCPU_10458,free,none,none
